SR_Report_As_of_Date,ID,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Reason,Restriction_Speed_MPH,Restriction_Distance_Miles,Restriction_Distance_Feet,Restricted_Track_Pct,Total_Track_Miles,Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Restriction_Count_End,Restriction_Days_to_Clear,Restriction_Days_Active,ObjectId
2023/02/28 05:00:00+00,334870,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB North Sta. to Science Park,place-north | place-spmnl,Active Restriction,2021/10/05 04:00:00+00,2023/02/01 05:00:00+00,Track,6 mph,0.051,270,0.004,14,1,0,0,0,484,,13
2023/02/28 05:00:00+00,334875,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Boylston to Arlington,place-boyls | place-armnl,Active Restriction,2021/10/05 04:00:00+00,,Track,10 mph,0.04,210,0.003,14,1,0,0,1,,511,14
2023/02/28 05:00:00+00,336986,Red Line,Red Line,RL Alewife-Braintree SB,SB Park to Downtown Cross.,place-pktrm | place-dwnxg,Active Restriction,2021/10/13 04:00:00+00,,Track,10 mph,0.133,700,0.003,41.9,1,0,0,1,,503,15
2023/02/28 05:00:00+00,358277,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Science Park to Lechmere,place-spmnl | place-lech,Active Restriction,2021/12/17 05:00:00+00,,Track,10 mph,0.282,1490,0.02,14,1,0,0,1,,438,16
2023/02/28 05:00:00+00,358285,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Lechmere to Science Park,place-lech | place-spmnl,Active Restriction,2021/12/17 05:00:00+00,,Track,10 mph,0.282,1490,0.02,14,1,0,0,1,,438,17
2023/02/28 05:00:00+00,381513,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB BU East to Blandford St,place-buest | place-bland,Active Restriction,2022/02/22 05:00:00+00,,Track,10 mph,0.095,500,0.011,8.5,1,0,0,1,,371,18
2023/02/28 05:00:00+00,399877,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB Packard's Corner Station,place-brico,Active Restriction,2022/04/11 04:00:00+00,,Track,6 mph,0.038,200,0.004,8.5,1,0,0,1,,323,19
2023/02/28 05:00:00+00,406234,Red Line,Mattapan Line,Mattapan Line NB,OB Capen St to Valley Rd,place-capst | place-valrd,Active Restriction,2022/04/27 04:00:00+00,,Track,10 mph,0.303,1600,0.058,5.2,1,0,0,1,,307,20
2023/02/28 05:00:00+00,406240,Red Line,Mattapan Line,Mattapan Line SB,IB Central Ave to Valley Road,place-cenav | place-valrd,Active Restriction,2022/04/27 04:00:00+00,,Track,10 mph,0.114,600,0.022,5.2,1,0,0,1,,307,21
2023/02/28 05:00:00+00,423051,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2022/05/18 04:00:00+00,,Track,25 mph,0.038,200,0.001,41.9,1,0,0,1,,286,22
2023/02/28 05:00:00+00,437055,Red Line,Red Line,RL Alewife-Braintree NB,NB Park to Charles,place-pktrm | place-chmnl,Active Restriction,2022/06/27 04:00:00+00,2023/02/17 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,1,0,0,0,235,,23
2023/02/28 05:00:00+00,437055,Red Line,Red Line,RL Alewife-Braintree NB,NB Park to Charles,place-pktrm | place-chmnl,Restriction Cleared,2022/06/27 04:00:00+00,2023/02/17 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,-1,0,235,,24
2023/02/28 05:00:00+00,443512,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB North Sta. to Science Park,place-north | place-spmnl,Active Restriction,2022/07/12 04:00:00+00,,Track,5 mph,0.028,150,0.002,14,1,0,0,1,,231,25
2023/02/28 05:00:00+00,456398,Red Line,Mattapan Line,Mattapan Line NB,OB Mattapan to Capen St.,place-matt | place-capst,Active Restriction,2022/08/12 04:00:00+00,,Track,10 mph,0.109,575,0.021,5.2,1,0,0,1,,200,26
2023/02/28 05:00:00+00,463167,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Active Restriction,2022/09/02 04:00:00+00,,Track,10 mph,0.259,1366,0.006,41.9,1,0,0,1,,179,27
2023/02/28 05:00:00+00,471445,Orange Line,Orange Line,OL SB,SB Tufts Medical Station,place-tumnl,Active Restriction,2022/09/23 04:00:00+00,,Track,18 mph,0.17,900,0.008,22.3,1,0,0,1,,158,28
2023/02/28 05:00:00+00,471451,Orange Line,Orange Line,OL NB,NB Tufts Medical Sta.,place-tumnl,Active Restriction,2022/09/23 04:00:00+00,,Track,18 mph,0.208,1100,0.009,22.3,1,0,0,1,,158,29
2023/02/28 05:00:00+00,473078,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Active Restriction,2022/09/27 04:00:00+00,2023/02/13 05:00:00+00,Track,25 mph,0.061,320,0.003,22.3,1,0,0,0,139,,30
2023/02/28 05:00:00+00,473078,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Restriction Cleared,2022/09/27 04:00:00+00,2023/02/13 05:00:00+00,Track,25 mph,0.061,320,0.003,22.3,0,0,-1,0,139,,31
2023/02/28 05:00:00+00,477428,Red Line,Red Line,RL JFK-Ashmont SB,SB Fields Corner Station,place-fldcr,Active Restriction,2022/10/04 04:00:00+00,,Track,10 mph,0.311,1643,0.007,41.9,1,0,0,1,,147,32
2023/02/28 05:00:00+00,481986,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Active Restriction,2022/10/18 04:00:00+00,,Track,25 mph,0.057,300,0.003,22.3,1,0,0,1,,133,33
2023/02/28 05:00:00+00,486386,Orange Line,Orange Line,OL SB,SB Tufts Med. to Back Bay,place-tumnl | place-bbsta,Active Restriction,2022/10/27 04:00:00+00,,Track,25 mph,0.136,717,0.006,22.3,1,0,0,1,,124,34
